kind,key,category,route,source
"builtin-page","real-estate/rent-vs-buy-calculator","real-estate","/real-estate/rent-vs-buy-calculator","src/app/real-estate/rent-vs-buy-calculator/page.tsx"
"builtin-page","real-estate/rental-cash-flow-calculator","real-estate","/real-estate/rental-cash-flow-calculator","src/app/real-estate/rental-cash-flow-calculator/page.tsx"
"builtin-page","real-estate/rental-yield-calculator","real-estate","/real-estate/rental-yield-calculator","src/app/real-estate/rental-yield-calculator/page.tsx"
"builtin-page","real-estate/scotland-lbtt-calculator","real-estate","/real-estate/scotland-lbtt-calculator","src/app/real-estate/scotland-lbtt-calculator/page.tsx"
"builtin-page","real-estate/security-deposit-calculator","real-estate","/real-estate/security-deposit-calculator","src/app/real-estate/security-deposit-calculator/page.tsx"
"builtin-page","real-estate/singapore-buyers-stamp-duty-calculator","real-estate","/real-estate/singapore-buyers-stamp-duty-calculator","src/app/real-estate/singapore-buyers-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/singapore-property-stamp-duty-calculator","real-estate","/real-estate/singapore-property-stamp-duty-calculator","src/app/real-estate/singapore-property-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/singapore-sellers-stamp-duty-calculator","real-estate","/real-estate/singapore-sellers-stamp-duty-calculator","src/app/real-estate/singapore-sellers-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/stamp-duty-calculator","real-estate","/real-estate/stamp-duty-calculator","src/app/real-estate/stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/uk-stamp-duty-calculator","real-estate","/real-estate/uk-stamp-duty-calculator","src/app/real-estate/uk-stamp-duty-calculator/page.tsx"
"builtin-page","real-estate/wales-ltt-calculator","real-estate","/real-estate/wales-ltt-calculator","src/app/real-estate/wales-ltt-calculator/page.tsx"
"builtin-page","construction/brick-block-quantity-calculator","construction","/construction/brick-block-quantity-calculator","src/app/construction/brick-block-quantity-calculator/page.tsx"
"builtin-page","construction/concrete-volume-calculator","construction","/construction/concrete-volume-calculator","src/app/construction/concrete-volume-calculator/page.tsx"
"builtin-page","construction/fence-material-calculator","construction","/construction/fence-material-calculator","src/app/construction/fence-material-calculator/page.tsx"
"builtin-page","construction/flooring-material-calculator","construction","/construction/flooring-material-calculator","src/app/construction/flooring-material-calculator/page.tsx"
"builtin-page","construction/gravel-mulch-volume-calculator","construction","/construction/gravel-mulch-volume-calculator","src/app/construction/gravel-mulch-volume-calculator/page.tsx"
"builtin-page","construction/paint-coverage-calculator","construction","/construction/paint-coverage-calculator","src/app/construction/paint-coverage-calculator/page.tsx"
"builtin-page","construction/roofing-material-calculator","construction","/construction/roofing-material-calculator","src/app/construction/roofing-material-calculator/page.tsx"
"builtin-page","construction/room-area-calculator","construction","/construction/room-area-calculator","src/app/construction/room-area-calculator/page.tsx"
"builtin-page","construction/staircase-calculator","construction","/construction/staircase-calculator","src/app/construction/staircase-calculator/page.tsx"
"builtin-page","construction/wallpaper-calculator","construction","/construction/wallpaper-calculator","src/app/construction/wallpaper-calculator/page.tsx"
"builtin-page","text/ascii-art-generator","text","/text/ascii-art-generator","src/app/text/ascii-art-generator/page.tsx"
"builtin-page","text/binary-code-translator","text","/text/binary-code-translator","src/app/text/binary-code-translator/page.tsx"
"builtin-page","text/case-converter","text","/text/case-converter","src/app/text/case-converter/page.tsx"
"builtin-page","text/character-counter","text","/text/character-counter","src/app/text/character-counter/page.tsx"
"builtin-page","text/duplicate-word-finder","text","/text/duplicate-word-finder","src/app/text/duplicate-word-finder/page.tsx"
"builtin-page","text/em-dash-remover","text","/text/em-dash-remover","src/app/text/em-dash-remover/page.tsx"
"builtin-page","text/morse-code-translator","text","/text/morse-code-translator","src/app/text/morse-code-translator/page.tsx"
"builtin-page","text/remove-duplicate-lines","text","/text/remove-duplicate-lines","src/app/text/remove-duplicate-lines/page.tsx"
"builtin-page","text/reverse-text-generator","text","/text/reverse-text-generator","src/app/text/reverse-text-generator/page.tsx"
"builtin-page","text/strikethrough-text","text","/text/strikethrough-text","src/app/text/strikethrough-text/page.tsx"
"builtin-page","text/voice-dictation","text","/text/voice-dictation","src/app/text/voice-dictation/page.tsx"
"builtin-page","text/word-cloud-generator","text","/text/word-cloud-generator","src/app/text/word-cloud-generator/page.tsx"
"builtin-page","text/word-frequency","text","/text/word-frequency","src/app/text/word-frequency/page.tsx"
"builtin-page","utility/age-calculator","utility","/utility/age-calculator","src/app/utility/age-calculator/page.tsx"
"builtin-page","utility/barcode-generator","utility","/utility/barcode-generator","src/app/utility/barcode-generator/page.tsx"
"builtin-page","utility/barcode-scanner","utility","/utility/barcode-scanner","src/app/utility/barcode-scanner/page.tsx"
"builtin-page","utility/bmi-calculator","utility","/utility/bmi-calculator","src/app/utility/bmi-calculator/page.tsx"
"builtin-page","utility/dns-checker","utility","/utility/dns-checker","src/app/utility/dns-checker/page.tsx"
"builtin-page","utility/free-cv-resume-builder","utility","/utility/free-cv-resume-builder","src/app/utility/free-cv-resume-builder/page.tsx"
"builtin-page","utility/jwt-decoder","utility","/utility/jwt-decoder","src/app/utility/jwt-decoder/page.tsx"
"builtin-page","utility/logarithm-calculator","utility","/utility/logarithm-calculator","src/app/utility/logarithm-calculator/page.tsx"
"builtin-page","utility/meta-tags-generator","utility","/utility/meta-tags-generator","src/app/utility/meta-tags-generator/page.tsx"
"builtin-page","utility/pomodoro-timer","utility","/utility/pomodoro-timer","src/app/utility/pomodoro-timer/page.tsx"
"builtin-page","utility/probability-calculator","utility","/utility/probability-calculator","src/app/utility/probability-calculator/page.tsx"
"builtin-page","utility/qr-code-generator","utility","/utility/qr-code-generator","src/app/utility/qr-code-generator/page.tsx"
"builtin-page","utility/qr-code-scanner","utility","/utility/qr-code-scanner","src/app/utility/qr-code-scanner/page.tsx"
"builtin-page","utility/quadratic-equation-solver","utility","/utility/quadratic-equation-solver","src/app/utility/quadratic-equation-solver/page.tsx"
"builtin-page","utility/robots-txt-generator","utility","/utility/robots-txt-generator","src/app/utility/robots-txt-generator/page.tsx"
"builtin-page","utility/scientific-calculator","utility","/utility/scientific-calculator","src/app/utility/scientific-calculator/page.tsx"
"builtin-page","utility/sitemap-generator","utility","/utility/sitemap-generator","src/app/utility/sitemap-generator/page.tsx"
"builtin-page","utility/statistics-calculator","utility","/utility/statistics-calculator","src/app/utility/statistics-calculator/page.tsx"
"builtin-page","utility/tip-calculator","utility","/utility/tip-calculator","src/app/utility/tip-calculator/page.tsx"
"builtin-page","utility/utm-link-builder","utility","/utility/utm-link-builder","src/app/utility/utm-link-builder/page.tsx"
"builtin-page","utility/xg-expected-goals-calculator","utility","/utility/xg-expected-goals-calculator","src/app/utility/xg-expected-goals-calculator/page.tsx"
"builtin-page","image/ai-background-remover","image","/image/ai-background-remover","src/app/image/ai-background-remover/page.tsx"
"builtin-page","ai/ai-humanizer","ai","/ai/ai-humanizer","src/app/ai/ai-humanizer/page.tsx"
"builtin-page","sport/football-lineup-builder","sport","/sport/football-lineup-builder","src/app/sport/football-lineup-builder/page.tsx"
"free-tool-registry","/utility/xg-expected-goals-calculator","Utility","/utility/xg-expected-goals-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/free-social-media-carousel-builder","Utility","/utility/free-social-media-carousel-builder","src/lib/tools/registry.ts"
"free-tool-registry","/ai/ai-humanizer","AI","/ai/ai-humanizer","src/lib/tools/registry.ts"
"free-tool-registry","/finance/salary-calculator","Finance","/finance/salary-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/uae-salary-calculator","Finance","/finance/uae-salary-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/uae-gratuity-calculator","Finance","/finance/uae-gratuity-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/uae-visa-cost-calculator","Finance","/finance/uae-visa-cost-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/mortgage-calculator","Finance","/finance/mortgage-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/dti-calculator","Finance","/finance/dti-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/emi-calculator","Finance","/finance/emi-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/car-loan-calculator","Finance","/finance/car-loan-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/credit-card-payoff-calculator","Finance","/finance/credit-card-payoff-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/discount-calculator","Finance","/finance/discount-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/vat-calculator","Finance","/finance/vat-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/gst-calculator","Finance","/finance/gst-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/profit-margin-calculator","Finance","/finance/profit-margin-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/compound-interest-calculator","Finance","/finance/compound-interest-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/savings-goal-calculator","Finance","/finance/savings-goal-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/percentage-calculator","Finance","/finance/percentage-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/click-through-rate-calculator","Finance","/finance/click-through-rate-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/cpc-cpm-calculator","Finance","/finance/cpc-cpm-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/roi-calculator","Finance","/finance/roi-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/foreign-exchange-fee-calculator","Finance","/finance/foreign-exchange-fee-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/loan-payoff-calculator","Finance","/finance/loan-payoff-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/net-worth-calculator","Finance","/finance/net-worth-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/budget-planner","Finance","/finance/budget-planner","src/lib/tools/registry.ts"
"free-tool-registry","/finance/freelancer-rate-calculator","Finance","/finance/freelancer-rate-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/payroll-tax-calculator","Finance","/finance/payroll-tax-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/employee-cost-calculator","Finance","/finance/employee-cost-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/churn-rate-calculator","Finance","/finance/churn-rate-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/customer-lifetime-value-calculator","Finance","/finance/customer-lifetime-value-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/invoice-generator","Finance","/finance/invoice-generator","src/lib/tools/registry.ts"
"free-tool-registry","/finance/salary-to-hourly-calculator","Finance","/finance/salary-to-hourly-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/rental-yield-calculator","Real Estate","/real-estate/rental-yield-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/cap-rate-calculator","Real Estate","/real-estate/cap-rate-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/rent-affordability-calculator","Real Estate","/real-estate/rent-affordability-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/closing-costs-calculator","Real Estate","/real-estate/closing-costs-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/price-per-square-foot-calculator","Real Estate","/real-estate/price-per-square-foot-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/rent-vs-buy-calculator","Real Estate","/real-estate/rent-vs-buy-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/bmi-calculator","Utility","/utility/bmi-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/age-calculator","Utility","/utility/age-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/tip-calculator","Utility","/utility/tip-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/free-cv-resume-builder","Utility","/utility/free-cv-resume-builder","src/lib/tools/registry.ts"
"free-tool-registry","/utility/robots-txt-generator","Utility","/utility/robots-txt-generator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/sitemap-generator","Utility","/utility/sitemap-generator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/jwt-decoder","Utility","/utility/jwt-decoder","src/lib/tools/registry.ts"
"free-tool-registry","/utility/scientific-calculator","Utility","/utility/scientific-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/quadratic-equation-solver","Utility","/utility/quadratic-equation-solver","src/lib/tools/registry.ts"
"free-tool-registry","/utility/statistics-calculator","Utility","/utility/statistics-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/probability-calculator","Utility","/utility/probability-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/logarithm-calculator","Utility","/utility/logarithm-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/utm-link-builder","Utility","/utility/utm-link-builder","src/lib/tools/registry.ts"
"free-tool-registry","/utility/qr-code-generator","Utility","/utility/qr-code-generator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/barcode-generator","Utility","/utility/barcode-generator","src/lib/tools/registry.ts"
"free-tool-registry","/utility/qr-code-scanner","Utility","/utility/qr-code-scanner","src/lib/tools/registry.ts"
"free-tool-registry","/utility/barcode-scanner","Utility","/utility/barcode-scanner","src/lib/tools/registry.ts"
"free-tool-registry","/utility/pomodoro-timer","Utility","/utility/pomodoro-timer","src/lib/tools/registry.ts"
"free-tool-registry","/text/voice-dictation","Text","/text/voice-dictation","src/lib/tools/registry.ts"
"free-tool-registry","/utility/meta-tags-generator","Utility","/utility/meta-tags-generator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/down-payment-calculator","Real Estate","/real-estate/down-payment-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/mortgage-refinance-calculator","Real Estate","/real-estate/mortgage-refinance-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/rental-cash-flow-calculator","Real Estate","/real-estate/rental-cash-flow-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/home-buying-budget-calculator","Real Estate","/real-estate/home-buying-budget-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/lease-escalation-calculator","Real Estate","/real-estate/lease-escalation-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/security-deposit-calculator","Real Estate","/real-estate/security-deposit-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/property-management-fee-calculator","Real Estate","/real-estate/property-management-fee-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/stamp-duty-calculator","Real Estate","/real-estate/stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/uk-stamp-duty-calculator","Real Estate","/real-estate/uk-stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/singapore-property-stamp-duty-calculator","Real Estate","/real-estate/singapore-property-stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/singapore-buyers-stamp-duty-calculator","Real Estate","/real-estate/singapore-buyers-stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/singapore-sellers-stamp-duty-calculator","Real Estate","/real-estate/singapore-sellers-stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/nyc-transfer-tax-calculator","Real Estate","/real-estate/nyc-transfer-tax-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/dubai-property-transfer-fee-calculator","Real Estate","/real-estate/dubai-property-transfer-fee-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/scotland-lbtt-calculator","Real Estate","/real-estate/scotland-lbtt-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/wales-ltt-calculator","Real Estate","/real-estate/wales-ltt-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/hong-kong-stamp-duty-calculator","Real Estate","/real-estate/hong-kong-stamp-duty-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/dubai-mortgage-registration-calculator","Real Estate","/real-estate/dubai-mortgage-registration-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/real-estate/dubai-service-charge-calculator","Real Estate","/real-estate/dubai-service-charge-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/text/word-frequency","Text","/text/word-frequency","src/lib/tools/registry.ts"
"free-tool-registry","/text/character-counter","Text","/text/character-counter","src/lib/tools/registry.ts"
"free-tool-registry","/text/case-converter","Text","/text/case-converter","src/lib/tools/registry.ts"
"free-tool-registry","/text/duplicate-word-finder","Text","/text/duplicate-word-finder","src/lib/tools/registry.ts"
"free-tool-registry","/text/em-dash-remover","Text","/text/em-dash-remover","src/lib/tools/registry.ts"
"free-tool-registry","/text/strikethrough-text","Text","/text/strikethrough-text","src/lib/tools/registry.ts"
"free-tool-registry","/text/reverse-text-generator","Text","/text/reverse-text-generator","src/lib/tools/registry.ts"
"free-tool-registry","/text/morse-code-translator","Text","/text/morse-code-translator","src/lib/tools/registry.ts"
"free-tool-registry","/text/binary-code-translator","Text","/text/binary-code-translator","src/lib/tools/registry.ts"
"free-tool-registry","/text/ascii-art-generator","Text","/text/ascii-art-generator","src/lib/tools/registry.ts"
"free-tool-registry","/text/convert-image-to-text","Text","/text/convert-image-to-text","src/lib/tools/registry.ts"
"free-tool-registry","/text/word-cloud-generator","Text","/text/word-cloud-generator","src/lib/tools/registry.ts"
"free-tool-registry","/text/remove-duplicate-lines","Text","/text/remove-duplicate-lines","src/lib/tools/registry.ts"
"free-tool-registry","/construction/concrete-volume-calculator","Construction","/construction/concrete-volume-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/paint-coverage-calculator","Construction","/construction/paint-coverage-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/flooring-material-calculator","Construction","/construction/flooring-material-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/roofing-material-calculator","Construction","/construction/roofing-material-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/brick-block-quantity-calculator","Construction","/construction/brick-block-quantity-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/wallpaper-calculator","Construction","/construction/wallpaper-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/gravel-mulch-volume-calculator","Construction","/construction/gravel-mulch-volume-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/room-area-calculator","Construction","/construction/room-area-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/fence-material-calculator","Construction","/construction/fence-material-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/construction/staircase-calculator","Construction","/construction/staircase-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/health/bmr-calculator","Health","/health/bmr-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/health/calorie-calculator","Health","/health/calorie-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/health/macro-calculator","Health","/health/macro-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/health/ideal-weight-calculator","Health","/health/ideal-weight-calculator","src/lib/tools/registry.ts"
"free-tool-registry","/health/body-fat-calculator","Health","/health/body-fat-calculator","src/lib/tools/registry.ts"
